epoch,train_loss,valid_loss
0,0.6974775063646957,0.7333057706274092
1,0.6260974830277264,0.6538444533251226
2,0.5968710429379717,0.6084715335126967
3,0.566293321272824,0.5746196537257172
4,0.5098888155799359,0.5481185439452063
5,0.5145825287499465,0.5329782437691465
6,0.5083150641657412,0.5119099761027843
7,0.471922386742197,0.4939652910350356
8,0.45030319547536785,0.4817779666022165
9,0.4264421014714753,0.4673347135311924
10,0.43329299266985616,0.45599040395866614
11,0.40196132504637355,0.443774219970766
12,0.420317993383971,0.4322698477122816
13,0.40710254555306163,0.4216419895665371
14,0.37174690880370326,0.41660677008079366
15,0.36992243053103446,0.40552533995219275
16,0.3769307958657737,0.40024594140923
17,0.3661075477685663,0.3954492321704689
18,0.34300303843198343,0.38749790297612197
19,0.3559203560114838,0.3836069155791891
20,0.3453775535403111,0.3776405028379115
21,0.34491835519229064,0.3727646911050542
22,0.3252645995928324,0.3671502873528341
23,0.3504029098111205,0.3648232238565048
24,0.3268843476812472,0.36396525644802025
25,0.327194127859897,0.3589319641389593
26,0.30813811694050675,0.356380032421049
27,0.31504119352973065,0.3531515644691477
28,0.30819357933884023,0.35029874894408275
29,0.30595321777800566,0.3480577554084128
30,0.3009149222924607,0.3484659203703952
